Date,Division,District/City,No. of confirmed cases,Total Death,Total Recover
26.04.2020,Barishal,Barguna,30,,
26.04.2020,Barishal,Bhola,2,,
26.04.2020,Barishal,Barishal,38,,
26.04.2020,Barishal,Potuakhali,20,,
26.04.2020,Barishal,Pirojpur,7,,
26.04.2020,Barishal,Jhalokathi,5,,
26.04.2020,Rajshahi,Joypurhat,6,,
26.04.2020,Rajshahi,Pabna,3,,
26.04.2020,Rajshahi,Chapainawabganj,2,,
26.04.2020,Rajshahi,Bogra,12,,
26.04.2020,Rajshahi,Naogaon,2,,
26.04.2020,Rajshahi,Sirajganj,2,,
26.04.2020,Rajshahi,Rajshahi,10,,
27.04.2020,Dhaka,Dhaka City,2717,76,76
27.04.2020,Dhaka,Dhaka (District),85,3,1
27.04.2020,Dhaka,Gazipur,315,,1
27.04.2020,Dhaka,Kishoreganj,191,1,
27.04.2020,Dhaka,Madaripur,36,2,9
27.04.2020,Dhaka,Manikganj,15,,
27.04.2020,Dhaka,Narayanganj,699,39,25
27.04.2020,Dhaka,Munshigonj,78,3,
27.04.2020,Dhaka,Narshingdi,142,1,1
27.04.2020,Dhaka,Rajbari,14,,
27.04.2020,Dhaka,Faridpur,9,,
27.04.2020,Dhaka,Tangail,24,2,
27.04.2020,Dhaka,Shariatpur,22,1,
27.04.2020,Dhaka,Gopalganj,50,,
27.04.2020,Chattogram,Chattogram,56,2,2
27.04.2020,Chattogram,Cox’s bazar,13,,1
27.04.2020,Chattogram,Cumilla,42,4,1
27.04.2020,Chattogram,B. Baria,35,2,
27.04.2020,Chattogram,Laksmipur,31,1,
27.04.2020,Chattogram,Bandarban,4,,
27.04.2020,Chattogram,Noakhali,5,1,
27.04.2020,Chattogram,Feni,4,,
27.04.2020,Chattogram,Chandpur,11,,
27.04.2020,Sylhet,Moulovi Bazar,12,2,
27.04.2020,Sylhet,Sunamganj,15,,
27.04.2020,Sylhet,Hobiganj,48,,
27.04.2020,Sylhet,Sylhet,14,2,
27.04.2020,Rangpur,Rangpur,21,,
27.04.2020,Rangpur,Gaibandha,17,,4
27.04.2020,Rangpur,Nilphamari,10,,
27.04.2020,Rangpur,Lalmonirhat,2,,
27.04.2020,Rangpur,Kurigram,6,,
27.04.2020,Rangpur,Dinajpur,14,,
27.04.2020,Rangpur,Panchagar,4,,
27.04.2020,Rangpur,Thakurgaon,8,,
27.04.2020,Khulna,Khulna,8,,
27.04.2020,Khulna,Jessore,26,,
27.04.2020,Khulna,Bagerhat,1,,
27.04.2020,Khulna,Narail,13,,
27.04.2020,Khulna,Magura,4,,
27.04.2020,Khulna,Meherpur,2,1,
27.04.2020,Khulna,Jhenaidah,11,,
27.04.2020,Khulna,Kushtia,10,,
27.04.2020,Khulna,Chuadanga,8,,1
27.04.2020,Mymensingh,Mymensingh,108,2,
27.04.2020,Mymensingh,Jamalpur,45,3,
27.04.2020,Mymensingh,Netrokona,25,,
27.04.2020,Mymensingh,Sherpur,23,,
27.04.2020,Barishal,Barguna,30,1,
27.04.2020,Barishal,Bhola,2,,
27.04.2020,Barishal,Barishal,38,,
27.04.2020,Barishal,Potuakhali,20,1,
27.04.2020,Barishal,Pirojpur,7,,
27.04.2020,Barishal,Jhalokathi,5,,
27.04.2020,Rajshahi,Joypurhat,10,,
27.04.2020,Rajshahi,Pabna,2,,
27.04.2020,Rajshahi,Chapainawabganj,2,,
27.04.2020,Rajshahi,Bogra,17,,
27.04.2020,Rajshahi,Naogaon,1,,
27.04.2020,Rajshahi,Sirajganj,2,,
27.04.2020,Rajshahi,Rajshahi,10,1,
28.04.2020,Dhaka,Dhaka City,3007,79,76
28.04.2020,Dhaka,Dhaka (District),88,3,1
28.04.2020,Dhaka,Gazipur,318,,1
28.04.2020,Dhaka,Kishoreganj,194,1,
28.04.2020,Dhaka,Madaripur,38,2,9
28.04.2020,Dhaka,Manikganj,15,,
28.04.2020,Dhaka,Narayanganj,849,39,25
28.04.2020,Dhaka,Munshigonj,82,3,
28.04.2020,Dhaka,Narshingdi,142,1,1
28.04.2020,Dhaka,Rajbari,14,,
28.04.2020,Dhaka,Faridpur,9,,
28.04.2020,Dhaka,Tangail,27,2,
28.04.2020,Dhaka,Shariatpur,24,1,
28.04.2020,Dhaka,Gopalganj,50,,
28.04.2020,Chattogram,Chattogram,67,2,2
28.04.2020,Chattogram,Cox’s bazar,19,,1
28.04.2020,Chattogram,Cumilla,47,4,1
28.04.2020,Chattogram,B. Baria,35,2,
28.04.2020,Chattogram,Laksmipur,34,1,
28.04.2020,Chattogram,Bandarban,4,,
28.04.2020,Chattogram,Noakhali,6,1,
28.04.2020,Chattogram,Feni,4,,
28.04.2020,Chattogram,Chandpur,11,,
28.04.2020,Sylhet,Moulovi Bazar,12,2,
28.04.2020,Sylhet,Sunamganj,26,,
28.04.2020,Sylhet,Hobiganj,48,,
28.04.2020,Sylhet,Sylhet,16,2,
28.04.2020,Rangpur,Rangpur,28,,
28.04.2020,Rangpur,Gaibandha,19,,4
28.04.2020,Rangpur,Nilphamari,11,,
28.04.2020,Rangpur,Lalmonirhat,2,,
28.04.2020,Rangpur,Kurigram,6,,
28.04.2020,Rangpur,Dinajpur,16,,
28.04.2020,Rangpur,Panchagar,7,,
28.04.2020,Rangpur,Thakurgaon,15,,
28.04.2020,Khulna,Khulna,8,,
28.04.2020,Khulna,Jessore,36,,
28.04.2020,Khulna,Bagerhat,1,,
28.04.2020,Khulna,Narail,13,,
28.04.2020,Khulna,Magura,4,,
28.04.2020,Khulna,Meherpur,2,1,
28.04.2020,Khulna,Jhenaidah,19,,
28.04.2020,Khulna,Kushtia,10,,
28.04.2020,Khulna,Chuadanga,8,,1
28.04.2020,Mymensingh,Mymensingh,117,2,
28.04.2020,Mymensingh,Jamalpur,52,3,
28.04.2020,Mymensingh,Netrokona,27,,
28.04.2020,Mymensingh,Sherpur,23,,
28.04.2020,Barishal,Barguna,30,1,
28.04.2020,Barishal,Bhola,4,,
28.04.2020,Barishal,Barishal,40,,
28.04.2020,Barishal,Potuakhali,23,1,
28.04.2020,Barishal,Pirojpur,8,,
28.04.2020,Barishal,Jhalokathi,6,,
28.04.2020,Rajshahi,Joypurhat,21,1,
28.04.2020,Rajshahi,Pabna,8,,
28.04.2020,Rajshahi,Chapainawabganj,2,,
28.04.2020,Rajshahi,Bogra,17,,
28.04.2020,Rajshahi,Naogaon,1,,
28.04.2020,Rajshahi,Sirajganj,3,,
28.04.2020,Rajshahi,Rajshahi,10,1,
29.04.2020,Dhaka,Dhaka City,3423,85,
29.04.2020,Dhaka,Dhaka (District),95,3,
29.04.2020,Dhaka,Gazipur,320,,
29.04.2020,Dhaka,Kishoreganj,197,1,
29.04.2020,Dhaka,Madaripur,38,2,
29.04.2020,Dhaka,Manikganj,21,,
29.04.2020,Dhaka,Narayanganj,863,39,
29.04.2020,Dhaka,Munshigonj,109,4,
29.04.2020,Dhaka,Narshingdi,142,1,
29.04.2020,Dhaka,Rajbari,14,,
29.04.2020,Dhaka,Faridpur,12,,
29.04.2020,Dhaka,Tangail,28,2,
29.04.2020,Dhaka,Shariatpur,24,1,
29.04.2020,Dhaka,Gopalganj,52,,
29.04.2020,Chattogram,Chattogram,70,2,
29.04.2020,Chattogram,Cox’s bazar,20,,
29.04.2020,Chattogram,Cumilla,81,4,
29.04.2020,Chattogram,B. Baria,37,2,
29.04.2020,Chattogram,Laksmipur,35,1,
29.04.2020,Chattogram,Bandarban,4,,
29.04.2020,Chattogram,Noakhali,6,1,
29.04.2020,Chattogram,Feni,4,,
29.04.2020,Chattogram,Chandpur,13,,
29.04.2020,Sylhet,Moulovi Bazar,12,2,
29.04.2020,Sylhet,Sunamganj,28,,
29.04.2020,Sylhet,Hobiganj,52,,
29.04.2020,Sylhet,Sylhet,16,2,
29.04.2020,Rangpur,Rangpur,28,,
29.04.2020,Rangpur,Gaibandha,20,,
29.04.2020,Rangpur,Nilphamari,13,,
29.04.2020,Rangpur,Lalmonirhat,3,,
29.04.2020,Rangpur,Kurigram,7,,
29.04.2020,Rangpur,Dinajpur,18,,
29.04.2020,Rangpur,Panchagar,8,,
29.04.2020,Rangpur,Thakurgaon,16,,
29.04.2020,Khulna,Khulna,11,,
29.04.2020,Khulna,Jessore,62,,
29.04.2020,Khulna,Bagerhat,1,,
29.04.2020,Khulna,Narail,13,,
29.04.2020,Khulna,Magura,6,,
29.04.2020,Khulna,Meherpur,2,1,
29.04.2020,Khulna,Satkhira,1,,
29.04.2020,Khulna,Jhenaidah,19,,
29.04.2020,Khulna,Kushtia,13,,
29.04.2020,Khulna,Chuadanga,8,,
29.04.2020,Mymensingh,Mymensingh,125,2,
29.04.2020,Mymensingh,Jamalpur,58,3,
29.04.2020,Mymensingh,Netrokona,29,,
29.04.2020,Mymensingh,Sherpur,25,,
29.04.2020,Barishal,Barguna,30,1,
29.04.2020,Barishal,Bhola,5,,
29.04.2020,Barishal,Barishal,40,,
29.04.2020,Barishal,Potuakhali,23,1,
29.04.2020,Barishal,Pirojpur,8,,
29.04.2020,Barishal,Jhalokathi,6,,
29.04.2020,Rajshahi,Joypurhat,28,1,
29.04.2020,Rajshahi,Pabna,8,,
29.04.2020,Rajshahi,Chapainawabganj,2,,
29.04.2020,Rajshahi,Bogra,18,,
29.04.2020,Rajshahi,Natore,8,,
29.04.2020,Rajshahi,Naogaon,15,,
29.04.2020,Rajshahi,Sirajganj,3,,
29.04.2020,Rajshahi,Rajshahi,19,2,
30.04.2020,Dhaka,Dhaka City,3751,89,
30.04.2020,Dhaka,Dhaka (District),99,3,
30.04.2020,Dhaka,Gazipur,322,,
30.04.2020,Dhaka,Kishoreganj,200,1,
30.04.2020,Dhaka,Madaripur,39,2,
30.04.2020,Dhaka,Manikganj,21,,
30.04.2020,Dhaka,Narayanganj,923,39,
30.04.2020,Dhaka,Munshigonj,110,4,
30.04.2020,Dhaka,Narshingdi,145,1,
30.04.2020,Dhaka,Rajbari,17,,
30.04.2020,Dhaka,Faridpur,12,,
30.04.2020,Dhaka,Tangail,29,3,
30.04.2020,Dhaka,Shariatpur,30,1,
30.04.2020,Dhaka,Gopalganj,45,,
30.04.2020,Chattogram,Chattogram,74,2,
30.04.2020,Chattogram,Cox’s bazar,23,,
30.04.2020,Chattogram,Cumilla,93,4,
30.04.2020,Chattogram,B. Baria,40,2,
30.04.2020,Chattogram,Khagrachari,1,,
30.04.2020,Chattogram,Laksmipur,35,1,
30.04.2020,Chattogram,Bandarban,4,,
30.04.2020,Chattogram,Noakhali,6,1,
30.04.2020,Chattogram,Feni,6,,
30.04.2020,Chattogram,Chandpur,14,,
30.04.2020,Sylhet,Moulovi Bazar,12,2,
30.04.2020,Sylhet,Sunamganj,28,,
30.04.2020,Sylhet,Hobiganj,53,,
30.04.2020,Sylhet,Sylhet,18,2,
30.04.2020,Rangpur,Rangpur,31,,
30.04.2020,Rangpur,Gaibandha,21,,
30.04.2020,Rangpur,Nilphamari,13,,
30.04.2020,Rangpur,Lalmonirhat,3,,
30.04.2020,Rangpur,Kurigram,7,,
30.04.2020,Rangpur,Dinajpur,20,,
30.04.2020,Rangpur,Panchagar,8,,
30.04.2020,Rangpur,Thakurgaon,16,,
30.04.2020,Khulna,Khulna,11,,
30.04.2020,Khulna,Jessore,63,,
30.04.2020,Khulna,Bagerhat,2,,
30.04.2020,Khulna,Narail,13,,
30.04.2020,Khulna,Magura,7,,
30.04.2020,Khulna,Meherpur,2,1,
30.04.2020,Khulna,Satkhira,1,,
30.04.2020,Khulna,Jhenaidah,19,,
30.04.2020,Khulna,Kushtia,15,,
30.04.2020,Khulna,Chuadanga,9,,
30.04.2020,Mymensingh,Mymensingh,143,2,
30.04.2020,Mymensingh,Jamalpur,61,3,
30.04.2020,Mymensingh,Netrokona,29,,
30.04.2020,Mymensingh,Sherpur,25,,
30.04.2020,Barishal,Barguna,30,1,
30.04.2020,Barishal,Bhola,5,,
30.04.2020,Barishal,Barishal,40,,
30.04.2020,Barishal,Potuakhali,27,1,
30.04.2020,Barishal,Pirojpur,9,,
30.04.2020,Barishal,Jhalokathi,8,,
30.04.2020,Rajshahi,Joypurhat,32,1,
30.04.2020,Rajshahi,Pabna,10,,
30.04.2020,Rajshahi,Chapainawabganj,2,,
30.04.2020,Rajshahi,Bogra,19,,
30.04.2020,Rajshahi,Natore,9,,
30.04.2020,Rajshahi,Naogaon,15,,
30.04.2020,Rajshahi,Sirajganj,3,,
30.04.2020,Rajshahi,Rajshahi,19,2,
01.05.2020,Dhaka,Dhaka City,3973,90,
01.05.2020,Dhaka,Dhaka (District),109,3,
01.05.2020,Dhaka,Gazipur,322,,
01.05.2020,Dhaka,Kishoreganj,201,1,
01.05.2020,Dhaka,Madaripur,39,2,
01.05.2020,Dhaka,Manikganj,22,,
01.05.2020,Dhaka,Narayanganj,966,39,
01.05.2020,Dhaka,Munshigonj,112,4,
01.05.2020,Dhaka,Narshingdi,151,1,
01.05.2020,Dhaka,Rajbari,19,,
01.05.2020,Dhaka,Faridpur,13,,
01.05.2020,Dhaka,Tangail,29,3,
01.05.2020,Dhaka,Shariatpur,30,1,
01.05.2020,Dhaka,Gopalganj,45,,
01.05.2020,Chattogram,Chattogram,75,2,
01.05.2020,Chattogram,Cox’s bazar,37,,
01.05.2020,Chattogram,Cumilla,99,4,
01.05.2020,Chattogram,B. Baria,43,2,
01.05.2020,Chattogram,Khagrachari,2,,
01.05.2020,Chattogram,Laksmipur,41,1,
01.05.2020,Chattogram,Bandarban,7,,
01.05.2020,Chattogram,Noakhali,9,1,
01.05.2020,Chattogram,Feni,6,,
01.05.2020,Chattogram,Chandpur,15,,
01.05.2020,Sylhet,Moulovi Bazar,12,2,
01.05.2020,Sylhet,Sunamganj,29,,
01.05.2020,Sylhet,Hobiganj,55,,
01.05.2020,Sylhet,Sylhet,18,2,
01.05.2020,Rangpur,Rangpur,38,,
01.05.2020,Rangpur,Gaibandha,21,,
01.05.2020,Rangpur,Nilphamari,15,,
01.05.2020,Rangpur,Lalmonirhat,3,,
01.05.2020,Rangpur,Kurigram,8,,
01.05.2020,Rangpur,Dinajpur,21,,
01.05.2020,Rangpur,Panchagar,8,,
01.05.2020,Rangpur,Thakurgaon,17,,
01.05.2020,Khulna,Khulna,13,,
01.05.2020,Khulna,Jessore,63,,
01.05.2020,Khulna,Bagerhat,2,,
01.05.2020,Khulna,Narail,13,,
01.05.2020,Khulna,Magura,8,,
01.05.2020,Khulna,Meherpur,2,1,
01.05.2020,Khulna,Satkhira,2,,
01.05.2020,Khulna,Jhenaidah,19,,
01.05.2020,Khulna,Kushtia,16,,
01.05.2020,Khulna,Chuadanga,9,,
01.05.2020,Mymensingh,Mymensingh,145,2,
01.05.2020,Mymensingh,Jamalpur,66,3,
01.05.2020,Mymensingh,Netrokona,32,,
01.05.2020,Mymensingh,Sherpur,26,,
01.05.2020,Barishal,Barguna,33,1,
01.05.2020,Barishal,Bhola,5,,
01.05.2020,Barishal,Barishal,40,,
01.05.2020,Barishal,Potuakhali,28,1,
01.05.2020,Barishal,Pirojpur,9,,
01.05.2020,Barishal,Jhalokathi,8,,
01.05.2020,Rajshahi,Joypurhat,33,1,
01.05.2020,Rajshahi,Pabna,10,1,
01.05.2020,Rajshahi,Chapainawabganj,2,,
01.05.2020,Rajshahi,Bogra,19,,
01.05.2020,Rajshahi,Natore,9,,
01.05.2020,Rajshahi,Naogaon,15,,
01.05.2020,Rajshahi,Sirajganj,3,,
01.05.2020,Rajshahi,Rajshahi,20,2,
02.05.2020,Dhaka,Dhaka City,4309,95,
02.05.2020,Dhaka,Dhaka (District),109,3,
02.05.2020,Dhaka,Gazipur,322,,
02.05.2020,Dhaka,Kishoreganj,201,1,
02.05.2020,Dhaka,Madaripur,46,2,
02.05.2020,Dhaka,Manikganj,22,,
02.05.2020,Dhaka,Narayanganj,987,39,
02.05.2020,Dhaka,Munshigonj,122,4,
02.05.2020,Dhaka,Narshingdi,152,1,
02.05.2020,Dhaka,Rajbari,19,,
02.05.2020,Dhaka,Faridpur,13,,
02.05.2020,Dhaka,Tangail,29,3,
02.05.2020,Dhaka,Shariatpur,39,1,
02.05.2020,Dhaka,Gopalganj,45,,
02.05.2020,Chattogram,Chattogram,78,2,
02.05.2020,Chattogram,Cox’s bazar,37,,
02.05.2020,Chattogram,Cumilla,104,4,
02.05.2020,Chattogram,B. Baria,43,2,
02.05.2020,Chattogram,Khagrachari,2,,
02.05.2020,Chattogram,Laksmipur,41,1,
02.05.2020,Chattogram,Bandarban,7,,
02.05.2020,Chattogram,Noakhali,9,1,
02.05.2020,Chattogram,Feni,6,,
02.05.2020,Chattogram,Chandpur,15,,
02.05.2020,Sylhet,Moulovi Bazar,17,2,
02.05.2020,Sylhet,Sunamganj,33,,
02.05.2020,Sylhet,Hobiganj,67,,
02.05.2020,Sylhet,Sylhet,18,2,
02.05.2020,Rangpur,Rangpur,45,,
02.05.2020,Rangpur,Gaibandha,24,,
02.05.2020,Rangpur,Nilphamari,16,,
02.05.2020,Rangpur,Lalmonirhat,3,,
02.05.2020,Rangpur,Kurigram,15,,
02.05.2020,Rangpur,Dinajpur,21,,
02.05.2020,Rangpur,Panchagar,8,,
02.05.2020,Rangpur,Thakurgaon,17,,
02.05.2020,Khulna,Khulna,13,,
02.05.2020,Khulna,Jessore,63,,
02.05.2020,Khulna,Bagerhat,2,,
02.05.2020,Khulna,Narail,13,,
02.05.2020,Khulna,Magura,8,,
02.05.2020,Khulna,Meherpur,2,1,
02.05.2020,Khulna,Satkhira,2,,
02.05.2020,Khulna,Jhenaidah,19,,
02.05.2020,Khulna,Kushtia,16,,
02.05.2020,Khulna,Chuadanga,9,,
02.05.2020,Mymensingh,Mymensingh,145,2,
02.05.2020,Mymensingh,Jamalpur,66,3,
02.05.2020,Mymensingh,Netrokona,32,,
02.05.2020,Mymensingh,Sherpur,26,,
02.05.2020,Barishal,Barguna,33,1,
02.05.2020,Barishal,Bhola,5,,
02.05.2020,Barishal,Barishal,40,,
02.05.2020,Barishal,Potuakhali,28,1,
02.05.2020,Barishal,Pirojpur,9,,
02.05.2020,Barishal,Jhalokathi,8,,
02.05.2020,Rajshahi,Joypurhat,33,1,
02.05.2020,Rajshahi,Pabna,10,1,
02.05.2020,Rajshahi,Chapainawabganj,2,,
02.05.2020,Rajshahi,Bogra,19,,
02.05.2020,Rajshahi,Natore,9,,
02.05.2020,Rajshahi,Naogaon,16,,
02.05.2020,Rajshahi,Sirajganj,3,,
02.05.2020,Rajshahi,Rajshahi,20,2,
